name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
鬼灭之刃 游郭篇,1.8亿,1395.6万追番,72.5万,9.7,35675人评,2021年12月5日开播,"已完结, 全11话",http://i0.hdslb.com/bfs/bangumi/image/f641f81aa1933d73c91d5ef76b525acbcdbcf3e7.png,77,7137
鬼灭之刃 无限列车篇,1.6亿,1301.4万追番,80万,9.8,48976人评,2021年10月10日开播,"已完结, 全7话",http://i0.hdslb.com/bfs/bangumi/image/31326faa6c7626395b1275a99bd8a6ca030929ed.png,79,9788
鬼灭之刃,8.7亿,1189.6万追番,1008.6万,9.7,397093人评,2019年4月7日开播,"已完结, 全26话",http://i0.hdslb.com/bfs/bangumi/image/4179b4398bad6f92e876e352cae21be7b8ceb8bf.png,653,137614
咒术回战,7.1亿,1117.2万追番,491.2万,9.7,228777人评,2020年10月3日开播,"已完结, 全24话",http://i0.hdslb.com/bfs/bangumi/image/91e9534cc55aa1a6dc959e7d6d33bde970208232.png,421,65878
间谍过家家,3.6亿,1064万追番,214.9万,9.8,84228人评,2022年4月9日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/a9497ed9b2ad8fd3b77289734769f81bd3948d75.png,175,18127
国王排名,4.8亿,926.2万追番,250.9万,7.0,238650人评,2021年10月15日开播,"已完结, 全23话",http://i0.hdslb.com/bfs/bangumi/image/376d7e69a667bcb1c0b934a4e35e07e7fa23110b.png,772,89209
辉夜大小姐想让我告白 -究极浪漫-,8267.6万,919.5万追番,57万,9.4,35545人评,2022年4月29日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/39f7d690deb477004673f40e0fe65c78895c94f4.png,235,8986
工作细胞：细胞大作战,860.6万,909.2万追剧,2.6万,9.2,1832人评,2021年4月9日上映,111分钟,http://i0.hdslb.com/bfs/bangumi/image/6f0e6f9218e4198fbd497379baf30ff2ef4eb92c.png,2,424
关于我转生变成史莱姆这档事 第二季,3.8亿,898.2万追番,263.5万,8.9,221944人评,2021年1月5日开播,"已完结, 全24话",http://i0.hdslb.com/bfs/bangumi/image/fd492888df64bbc3b821dac5d516dbc1c2fe5f08.png,499,106834
小林家的龙女仆 第二季,1.1亿,856.7万追番,50.5万,9.6,29430人评,2021年7月8日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/847e9dbb6876fb37a30199a5c88910704976d45b.png,100,7912
