name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
守护解放西3,2.5亿,2.5亿次播放,210.2万,9.8,25814人评,2022年1月7日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/3a5e05f8277b4e6b0c5190d1e649a2ba856b2197.png,42,3828
人生一串 第三季,1.8亿,1.8亿次播放,63.8万,9.7,15707人评,2021年11月17日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/6c05210675336fc19583ef76c38c893ac6ce46b0.jpg,15,3019
守护解放西,1.4亿,1.4亿次播放,177.3万,9.8,22837人评,2019年9月14日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/13059001c9284c9392c7fb046cdb64dff159effa.png,12,4741
守护解放西2,1.4亿,1.4亿次播放,196.9万,9.7,17265人评,2020年10月9日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/ba37f849fcc927fc532e9c790601608f1d8ae267.jpg,20,2737
人生一串 第二季,1.3亿,1.3亿次播放,264.3万,9.7,22758人评,2019年7月10日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/7db272b2e887bb3615a8aee29cf4ed839dc54e82.png,32,7097
人生一串,1.2亿,1.2亿次播放,144.1万,9.8,24006人评,2018年6月20日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/7a790c64ff70f12c11888be0532b6981a923afd5.jpg,83,8522
这就是中国,7764.4万,7764.3万次播放,20.5万,,,2019年1月7日开播,"连载中, 每周二 10:00更新",http://i0.hdslb.com/bfs/bangumi/c886d6dfa0fab0c80d2a005b50ae3fafa9394134.jpg,,
第一餐,6943.7万,6943.6万次播放,17.1万,9.4,3572人评,12:00开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/5cfbefee23743a052dcdf805e1b0cf8b974c2be8.png,14,664
派出所的故事2019,6937.5万,6937.5万次播放,101.2万,9.8,11743人评,2019年12月20日开播,"已完结, 全15集",http://i0.hdslb.com/bfs/bangumi/image/58d2bd4812946d9a4411e85b62ce76fd4510304e.png,11,2308
冒险雷探长,6844.4万,6844.4万次播放,120.4万,9.5,9518人评,2013年10月1日开播,"连载中, 每周二 17:00更新",http://i0.hdslb.com/bfs/bangumi/20803365ee6f3bd7208b0ea0bf0cacf8c6bc5792.jpg,6,2480
决胜荒野之华夏秘境,6615.3万,6615.3万次播放,52.9万,9.4,9791人评,2020年4月24日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/1ea7435207d559cd47201f9f98808f2b477b32d5.png,21,2368
