name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
伍六七之玄武国篇,4亿,1000.3万追番,178万,9.8,103406人评,2021年1月27日开播,"已完结, 全10话",http://i0.hdslb.com/bfs/bangumi/image/00843865ea13702eccc4efd64c313fd4c8029c6b.jpg,239,28023
灵笼,5.2亿,860.8万追番,646.6万,9.6,240474人评,2019年7月13日开播,"已完结, 全16话",http://i0.hdslb.com/bfs/bangumi/image/cfab7e0fbdb4786ff4e885d050b7cf37f8829486.png,1106,85948
仙王的日常生活 第二季,2.7亿,826.1万追番,114.4万,6.8,97377人评,2021年10月30日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/7f214783a3bb8d3e356ce8ee2bccbb1498e0a5df.jpg,231,47734
镇魂街 第二季,3.3亿,816.7万追番,189.8万,7.4,154725人评,2019年12月28日开播,"已完结, 全10话",http://i0.hdslb.com/bfs/bangumi/image/6a762ae614e567fc5c322c8cb240bcd4d1e06969.jpg,352,77001
天官赐福 第二季,2994.1万,799.1万追番,24万,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/6ee51928451a6e716975a13088a6df06a31fe9b5.jpg,,
仙王的日常生活 第三季,2403.4万,792.5万追番,1.4万,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/96f86387f98d5dfcb864925f419431eb00577651.jpg,,
天官赐福,4.7亿,789.4万追番,507万,8.9,168445人评,2020年10月31日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/8d1be9e8c77696f34886b8f471d935f504a014d3.jpg,3510,90137
罗小黑战记,4.9亿,669.9万追番,261.2万,9.9,140675人评,2011年3月17日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/b00ab23001f8b73e7ed09fe55c1af14781f27d14.png,193,41726
伍六七之最强发型师,3亿,668.1万追番,207万,9.8,95584人评,2019年q10月23日开播,"已完结, 全10话",http://i0.hdslb.com/bfs/bangumi/image/d179871a635e9c908a53be6580714ce3c6fee5ba.jpg,106,27538
仙王的日常生活,5.1亿,663.4万追番,374.4万,4.7,335407人评,2020年1月18日开播,"已完结, 全15话",http://i0.hdslb.com/bfs/bangumi/image/54bb0aa41490093244c33422883729dc36efe146.jpg,1038,184279
时光代理人,2.2亿,656.2万追番,263.7万,9.8,124077人评,2021年4月30日开播,"已完结, 全11话",http://i0.hdslb.com/bfs/bangumi/image/90b51647c381091984dc0664c05ed988c66eb13a.jpg,531,44955
