name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
让子弹飞,1.1亿,1.1亿次播放,96.2万,9.9,126548人评,2010年12月16日上映,127分钟,http://i0.hdslb.com/bfs/bangumi/371e9be67b2ae3938a8bafa2b80b466268f34b9d.jpg,95,30392
你的名字。,8488.5万,8488.2万次播放,217.1万,9.9,97887人评,2016年8月26日上映,106分钟,http://i0.hdslb.com/bfs/bangumi/image/8027312ac645f4734e1aba8291d99be77e516176.jpg,227,27048
扬名立万,6104.1万,6104万次播放,18.5万,9.6,30853人评,2021年11月11日上映,123分钟,http://i0.hdslb.com/bfs/bangumi/image/4498c58115f824478c6758f470bb0ed5c1383ca1.png,125,8870
罗小黑战记,4889.9万,4889.9万次播放,52.5万,9.9,73153人评,2019年9月7日上映,101分钟,http://i0.hdslb.com/bfs/bangumi/5bee2f7688f4264c6cdbb983aec0205b6b7c9d3b.jpg,194,22022
温暖的抱抱,4859.5万,4859.4万次播放,11.2万,8.1,10839人评,2020年12月31日上映,112分钟,http://i0.hdslb.com/bfs/bangumi/image/98a63ec80db80d9cc4f0ec6c0ae0189743de2639.png,54,3465
哈利·波特与魔法石,4025.8万,4025.6万次播放,86.6万,9.8,26655人评,2001年11月4日上映,158分钟,http://i0.hdslb.com/bfs/bangumi/dd9a113e724e3c60dc2da31562e45d57e3c2d707.jpg,38,5568
刀剑神域：序列之争,4019.4万,4019.4万次播放,94.2万,9.4,17079人评,2017年9月15日上映,120分钟,http://i0.hdslb.com/bfs/bangumi/3622ff139d6875c7b196edd3f9db7d0a3883a158.jpg,57,4454
天气之子,4006.1万,4006.1万次播放,102.5万,9.6,95466人评,2019年11月1日上映,113分钟,http://i0.hdslb.com/bfs/bangumi/image/33680a2209c4dba76322b2ffeeaf3dd821db576c.png,686,29786
大世界扭蛋机,3897.6万,3896.4万次播放,2.6万,,,2022年6月30日上映,25分钟,http://i0.hdslb.com/bfs/bangumi/image/37d8e3c68e42d3aa4869d9a60f502cd91b984977.png,2,231
紫罗兰永恒花园外传：永远与自动手记人偶,3790.5万,3790.5万次播放,54.7万,9.9,96107人评,2020年1月10日上映,91分钟,http://i0.hdslb.com/bfs/bangumi/image/107eb93eff876dee16da4bf270b31c3e250e49d6.png,263,31397
唐人街探案3,3734.9万,3734.9万次播放,26.3万,5.4,38020人评,2021年2月12日上映,136分钟,http://i0.hdslb.com/bfs/bangumi/image/bab03e9772b7193f51bf70dbe4829b33448b9752.png,175,16177
四海,3414.7万,3414.6万次播放,6.9万,,,2022年2月1日上映,128分钟,http://i0.hdslb.com/bfs/bangumi/image/ded994dab56692bd702a0b8d9274727926a2d489.png,131,7697
声之形,3335.6万,3335.6万次播放,133.2万,9.6,50172人评,2017年9月8日上映,111分钟,http://i0.hdslb.com/bfs/bangumi/23b1fabb35bbc20b91207edd6a66a8719f8cd297.jpg,386,14720
