name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
风犬少年的天空,5.2亿,5.2亿次播放,498.7万,8.0,96925人评,2020年9月24日开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/image/874d8d77ffd1e08c6706cd9a8358eaba27d5e36e.png,363,42827
三国演义,2.5亿,2.5亿次播放,562.4万,9.9,48766人评,1994年10月23日开播,"已完结, 全84集",http://i0.hdslb.com/bfs/bangumi/image/1d2eb8d863e3d0aa9d6557ae5b32764159953d8b.jpg,80,11615
奇妙博物馆 第一季,2.1亿,2.1亿次播放,15.4万,8.0,2080人评,2020年6月23日开播,"已完结, 全80集",http://i0.hdslb.com/bfs/bangumi/image/cc5e9a21f26c6e1c36824f0cb422b782a75f644b.png,1,552
珍馐记,1.7亿,1.7亿次播放,75.7万,8.1,13126人评,2022年4月7日开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/image/736891730e6160b0d26897905b3b3f797df211cf.png,43,5680
双镜,1.6亿,1.6亿次播放,186.5万,9.6,27531人评,2021年8月12日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/13f32e25ba2452af347ba0e1c604116c22209b32.jpg,110,12022
奇妙博物馆 第二季,1.6亿,1.6亿次播放,6.4万,5.6,1013人评,2020年12月10日开播,"已完结, 全40集",http://i0.hdslb.com/bfs/bangumi/image/ecb7a5320698211b876ce85366fc4a6ebf874ca1.jpg,5,454
大侠卢小鱼之夕阳红战队,1.2亿,1.2亿次播放,33.6万,8.4,33119人评,2021年1月21日开播,"已完结, 全24集",http://i0.hdslb.com/bfs/bangumi/image/f1c51cb59be9c08226c865372b03c3b97f5b4266.jpg,150,17742
突如其来的假期,1.2亿,1.2亿次播放,48万,9.6,16262人评,2021年7月16日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/093dec239149be4982e7b734d663baac5483057f.jpg,74,4899
非自然死亡,1.1亿,1.1亿次播放,134.4万,9.9,76365人评,2018年1月12日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/72f01ec71e4e8cb1a765f875b7a26fb78b9ae6eb.jpg,228,20304
正义的算法,1.1亿,1.1亿次播放,18万,9.2,4948人评,2022年6月15日开播,"连载中, 每周三、四20点更新",http://i0.hdslb.com/bfs/bangumi/image/291399ec92afe120423da708e821a6d40242a026.png,9,1450
西游记,1.1亿,1.1亿次播放,250.3万,9.9,33000人评,1986年2月1日开播,"已完结, 全25集",http://i0.hdslb.com/bfs/bangumi/image/f9b7d89acb62d2ed385381ebcf5ac80b65fadd73.jpg,44,10801
奇妙博物馆 第三季,1.1亿,1.1亿次播放,2.7万,3.9,450人评,2021年2月2日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/17c5765ad695c76e9eb5516111b5b39fe041341f.jpg,4,225
红楼梦,9153.4万,9153.2万次播放,191.5万,9.9,32494人评,1987年5月2日开播,"已完结, 全36集",http://i0.hdslb.com/bfs/bangumi/image/7e52b373f9522884d4c878c042d46dd532774057.jpg,88,9462
外来媳妇本地郎,9055万,9054.9万次播放,1356.1万,9.9,6413人评,2000年11月4日开播,"已完结, 全2444集",http://i0.hdslb.com/bfs/bangumi/25cb9e09f1a7aa2f3575bacef6dadd1df3208881.jpg,6,2002
通灵妃,8870.5万,8870.4万次播放,11.1万,9.0,3638人评,2019年12月28日开播,"已完结, 全52集",http://i0.hdslb.com/bfs/bangumi/image/7f525ca719b7e9e5b3250a018ab81a4fe237e955.jpg,3,1830
水浒传,7133.1万,7132.9万次播放,205.6万,9.7,10345人评,1998年1月3日开播,"已完结, 全43集",http://i0.hdslb.com/bfs/bangumi/image/78241bf67ee92b92ca4e8d1b8006b939f602aad6.jpg,47,2518
铠甲勇士,6826.1万,6826万次播放,250.4万,9.8,15653人评,2009年3月28日开播,"已完结, 全52集",http://i0.hdslb.com/bfs/bangumi/9366c8c2b3603ddebe75c89156edfd5c1c2b0d41.jpg,30,5117
老友记 第一季,6048万,6047.8万次播放,22.4万,6.1,16783人评,1994年9月22日开播,"已完结, 全24集",http://i0.hdslb.com/bfs/bangumi/image/28f4634e43c3b8def94218101622b9ae69a20d56.png,41,8141
西游记续集,5833.9万,5833.8万次播放,93.1万,9.9,9579人评,2000年2月8日开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/image/2a4782407b25733fbef641595214aa004247ae19.jpg,5,2741
孤独的美食家 第一季,5705.4万,5705.3万次播放,44.1万,9.9,9187人评,2012年1月4日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/2785d9af3fa2dfcfc568ba1ea5c1ef870f7820e7.jpg,6,1770
逃避虽可耻但有用,5131.1万,5131.1万次播放,82.8万,9.8,21414人评,2016年10月11日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/7e65c966b1fd7cf8cd49da89d394546fee18d9ed.jpg,67,6413
孤独的美食家 第八季,5050.8万,5050.8万次播放,33.9万,9.8,7884人评,2019年10月4日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/cfbc9265405bf744418bf12803acf077d5c53946.jpg,6,1448
半泽直树,4602.1万,4602.1万次播放,52.7万,9.9,19416人评,2013年7月7日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/3b1b5c08fec6b300d351fc17083524d8a856810d.png,18,4099
孤独的美食家 第二季,4375.7万,4375.5万次播放,30.1万,9.8,4327人评,2012年10月10日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/9b31d3fa7e948cd9c6fa2216e687da5fd518eff5.jpg,3,756
巴啦啦小魔仙,4345.8万,4345.8万次播放,155.6万,9.6,6733人评,2008年4月12日开播,"已完结, 全52集",http://i0.hdslb.com/bfs/bangumi/6d9b1cf2542092534f13a901343e1e2e984d829f.jpg,9,2471
孤独的美食家 第七季,4091.3万,4091.1万次播放,23.7万,9.8,3642人评,2018年4月6日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/6bc11365fb1d32deee780f51b5356f39cc173858.jpg,9,719
半泽直树2,3994.9万,3994.8万次播放,46.3万,9.9,18960人评,2020年7月19日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/eaa2a62b701547959467d707a24370937fc6b67e.png,30,
片场日记,3970.4万,3969.7万次播放,5.8万,9.9,8160人评,,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/0d68f2b21ce316d0f8d7b83fe6886b957c92261a.png,1,2108
不思异：辞典,3652.9万,3652.8万次播放,11.7万,8.2,1593人评,2017年5月3日开播,"已完结, 全26集",http://i0.hdslb.com/bfs/bangumi/fe9401ba02db88060903bdb6f48154a306fe264b.jpg,,530
东京大饭店,3521.1万,3521.1万次播放,100.2万,9.8,20062人评,2019年10月20日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/ae5e5939187ed6d8f93baa73c509b0aed7f77cfb.jpg,57,4945
不思异：录像,3512.7万,3512.7万次播放,13.9万,9.1,3966人评,2019年11月26日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/01b0c944b348e5974e139aaf8c41246a7e19e54f.jpg,10,1134
孤独的美食家 第五季,3427.2万,3427.2万次播放,59.9万,9.8,3595人评,2015年10月2日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/9e8ee0213ec602f6a72c616a40d2e6054d35ac70.jpg,4,760
孤独的美食家 第六季,3307.7万,3307.7万次播放,20万,9.8,3298人评,2017年4月7日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/1a198130df5c48ec5291b196bc9206a00d1c4c3d.jpg,3,657
将恋爱进行到底,3224.6万,3224.6万次播放,44.9万,9.6,6429人评,2020年1月14日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/1bb52b310461daadb73a2a10efd1cf4118122e29.jpg,14,2316
孤独的美食家 第三季,3088.1万,3088万次播放,19.4万,9.8,2825人评,2013年7月10日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/da849ac9dd44750adac5b2ca6b7acdb9063b1838.jpg,4,417
特种兵之火凤凰,3022.8万,3022.7万次播放,52.9万,8.1,1310人评,2013年10月23日开播,"已完结, 全48集",http://i0.hdslb.com/bfs/bangumi/6057294b3b4fd45a5866e9320f82bc47f4728be8.jpg,6,406
孤独的美食家 第四季,2986.7万,2986.7万次播放,17.5万,9.8,2328人评,2014年7月9日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/34b68da7ea2146a5ce345cd1ebbe8896157bfe75.jpg,1,317
二号交通站,2957.2万,2957.2万次播放,31.5万,6.5,2189人评,2011年1月1日开播,"已完结, 全36集",http://i0.hdslb.com/bfs/bangumi/dea319c9d9a7aa007b564965c7e7d4ebab2431f1.jpg,17,850
老友记 第二季 ,2636.8万,2636.7万次播放,8.9万,,,1995年9月21日开播,"已完结, 全24集",http://i0.hdslb.com/bfs/bangumi/image/141391686643e33ce7a2690341179e0e1de1f642.png,,
3年A班：从现在起，大家都是人质,2636.7万,2636.7万次播放,24万,9.8,21132人评,2019年1月6日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/c9145d011ce02ea5ac94d059f128197009f1b984.jpg,84,5868
勇士义彦与魔王之城,2616.4万,2616.4万次播放,14.1万,8.7,3945人评,2011年7月8日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/af26f17b0aa4ad130c553ec5e64c3a0929605b2b.jpg,8,1275
神探狄仁杰2,2545万,2544.8万次播放,58.5万,9.9,9498人评,2006年11月20日开播,"已完结, 全40集",http://i0.hdslb.com/bfs/bangumi/image/225982a6b186d157fcf087623dd406bb2bcdcc8f.png,10,2989
抓马侦探,2515.9万,2515.7万次播放,3.2万,9.4,3121人评,2021年11月8日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/63458c26ad150010cab7e9317cb0f51f4b8a0420.png,,808
高岭之花,2421.1万,2420.8万次播放,15.3万,7.9,2598人评,2018年7月11日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/b895b41a215257b506813fb6fc025dad093aa4ce.jpg,26,1035
最好的朋友,2213.1万,2213.1万次播放,32.8万,8.8,10771人评,2021年9月4日开播,"已完结, 全24集",http://i0.hdslb.com/bfs/bangumi/image/d14ef5620faef8ee3fa2cbbbf218a5d15eb20c61.png,65,6816
机智的监狱生活,2187.2万,2187.1万次播放,19.9万,9.7,3897人评,2017年11月22日开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/image/0de35dd9b4d99ad2f807b8c7e83801919b99f941.png,5,1047
孤独的美食家 第九季 ,2072.8万,2072.8万次播放,11.9万,9.9,4485人评,2021年7月9日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/07940d8aa18c89734d9e530721b05d405de9d3e4.jpg,5,744
康熙王朝,2038.1万,2038万次播放,32万,9.3,2723人评,2001年12月3日开播,"已完结, 全46集",http://i0.hdslb.com/bfs/bangumi/254874bef2705673f6ebd67d93af3d0bc954cba2.jpg,14,699
谁？异能者,2010.6万,2010.2万次播放,2.2万,8.8,669人评,2021年10月4日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/58668fc826581a2acbeb93e2674b70d5ce64012f.png,4,246
深夜食堂 第五季,1995.9万,1995.9万次播放,9.3万,6.8,4494人评,2019年10月31日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/2595f8f61e3538baa4240f57f665a050b32d549c.jpg,18,1816
不思异：电台,1977.9万,1977.9万次播放,9.9万,9.4,1691人评,2019年3月25日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/89def31bd8833c45e6514709ca6850d35c78cc9f.jpg,3,454
双姝 第一季,1976.9万,1976.9万次播放,18万,9.5,3806人评,2018年4月8日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/a08c98648515444de469963374ca221296af9f83.jpg,13,972
机动搜查队404,1940.5万,1940.5万次播放,20.5万,9.8,12558人评,2020年6月26日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/7f28b1059abfc054e9637e07b5c17da84cf4e63d.png,25,3210
老友记  第三季,1931万,1931万次播放,6.5万,,,敬请期待,"已完结, 全25集",http://i0.hdslb.com/bfs/bangumi/image/09c58dc275542b0d7743f73f7335f0ec8250a81c.png,,
机智的医生生活 第二季,1921.4万,1921.3万次播放,9.6万,9.8,3510人评,2021年6月17日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/367b0470947cab63c0ca8a5227c72688d6ea2be3.png,4,913
凸变英雄BABA 真人版,1787.2万,1787.2万次播放,12.1万,9.5,4146人评,2019年8月3日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/79e4d00864598f96638373cdd2d5af2a6765ea30.jpg,4,1816
第八号当铺 第一季,1765.5万,1765.5万次播放,26万,8.6,1537人评,2003年10月7日开播,"已完结, 全39集",http://i0.hdslb.com/bfs/bangumi/image/f92365b7fc29c84b6679db44ac5ed595c11b31ec.jpg,4,614
真田丸,1762.2万,1762.2万次播放,37.2万,9.6,2291人评,2016年1月10日开播,"已完结, 全50集",http://i0.hdslb.com/bfs/bangumi/a30db1c409da501d0ab5a26f9cef8c397fb21c0b.jpg,18,572
老友记  第五季,1712.4万,1712.3万次播放,4.1万,,,敬请期待,"已完结, 全24集",http://i0.hdslb.com/bfs/bangumi/image/ee148b666dfb4da7d9b57c5e62ce5ca7978c1e63.png,,
老友记  第四季,1636.2万,1636.2万次播放,4.7万,,,1997年9月25日开播,"已完结, 全24集",http://i0.hdslb.com/bfs/bangumi/image/82ab1e127dbfef5d04ff6f11a0b049a1bdbbc177.png,,
切尔诺贝利·禁区,1601万,1601万次播放,19.6万,9.5,4368人评,2018年6月24日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/17e88afc53920d6aeab91a0e82a3039cdac3e222.jpg,18,1645
神医喜来乐,1577.2万,1577.1万次播放,51.4万,9.7,1523人评,2003年1月22日开播,"已完结, 全35集",http://i0.hdslb.com/bfs/bangumi/3dcbfe0ef5efba92245e703c95812386f3699767.jpg,1,418
摩玉玄奇,1576.1万,1576.1万次播放,11.7万,7.8,1300人评,2020年5月15日开播,"已完结, 全30集",http://i0.hdslb.com/bfs/bangumi/image/4fc48b8022c807aba87b07ff96bc50aa6bedeaf2.png,3,575
谁？异能者Ⅱ,1570.5万,1570.1万次播放,1.6万,9.1,467人评,2021年10月9日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/5721c4519976e0c2bcd1fbe3620aedf932ba0f28.png,,152
李卫当官2,1535万,1535万次播放,14.8万,9.1,496人评,2004年1月1日开播,"已完结, 全32集",http://i0.hdslb.com/bfs/bangumi/4a0dbeb2c6e440d98b46e116bfd17bb1aaf56581.jpg,,109
深夜食堂 第一季,1527.3万,1527.1万次播放,30.8万,9.7,4810人评,2009年10月9日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/391a87d831570ec81bdcf1625125652050462a73.jpg,8,963
笑傲江湖,1480.9万,1480.9万次播放,47.9万,9.7,4843人评,2001年3月26日开播,"已完结, 全40集",http://i0.hdslb.com/bfs/bangumi/image/e82f485783df97ba0907576f29b9e6219769f1e4.png,39,1757
九号秘事 第一季,1463万,1462.8万次播放,13.3万,9.6,2105人评,2014年2月5日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/afb65710846413de31a2375783db6b7cc43fab40.jpg,3,435
激战江南,1420.8万,1420.7万次播放,24.7万,6.2,3000人评,2011年7月2日开播,"已完结, 全32集",http://i0.hdslb.com/bfs/bangumi/9db42fe1e38d1f31fabb9012e6072f656457401c.jpg,2,1871
这个男人是我人生中最大的错误,1374万,1374万次播放,8.9万,9.4,2112人评,2020年1月18日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/e3f064c146ef67b6739233769205e41002df256a.png,7,760
龙游天下,1350.6万,1350.6万次播放,75.6万,9.7,2325人评,2008年1月25日开播,"已完结, 全38集",http://i0.hdslb.com/bfs/bangumi/image/89d0b4ab3beac38c22e78227f50b141f678a447e.jpg,8,929
无法成为野兽的我们,1325.9万,1325.8万次播放,37.6万,9.1,4789人评,2018年10月10日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/b57f676c19e01d915096d5bc9719e848c8be55d1.jpg,36,1499
大宅门,1320.3万,1320.2万次播放,27.4万,9.8,2206人评,2001年4月15日开播,"已完结, 全40集",http://i0.hdslb.com/bfs/bangumi/ec9238bfd03559673fef88184a8a51f3735bcbd8.jpg,5,547
