name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
说唱新世代,7.5亿,7.5亿次播放,1092.6万,9.6,117304人评,2020年8月22日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/e797e6d180d9f198a0cdc76fd75e50f29c745f25.jpg,349,41103
我的音乐你听吗,2.8亿,2.8亿次播放,278.1万,9.2,29219人评,2021年8月28日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/58fc33109292a14e9861b50a24a189bd24e02807.png,155,9057
90婚介所,2.3亿,2.3亿次播放,196.4万,9.1,6589人评,2021年8月13日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/cf25f959015311ed4f3e37ee5e547b3f12a8432d.jpg,111,1856
我是特优声,1.8亿,1.8亿次播放,333.3万,9.2,54543人评,2020年12月19日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/c2a9dce9e54e96964c5c31905a9208258152d5d9.jpg,461,30402
欢天喜地好哥们,1.8亿,1.8亿次播放,393万,9.0,118215人评,2020年7月24日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/85eadbd5423680e5db85dd9c75cdbb79262d060b.jpg,370,41729
90婚介所2022,1.8亿,1.8亿次播放,74.6万,8.5,2940人评,2022年5月14日开播,"连载中, 每周五12点，周日20点会员加更",http://i0.hdslb.com/bfs/bangumi/image/9dda9d28e3f7b4e5d2448be41ea96a49e11e4ad8.jpg,18,917
哔计划,1.8亿,1.8亿次播放,96.4万,,,2018年6月27日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/5b7cb7aca492eee4c497b2e8272085390bd68b6d.png,,
2020最美的夜 bilibili晚会,1.7亿,1.7亿次播放,121.5万,9.5,25046人评,2021年1月1日开播,"已完结, 全5集",http://i0.hdslb.com/bfs/bangumi/image/72cb12d4fd380865529ed16603c1001436977589.jpg,120,8670
时代少年团2021火力全开演唱会,1.7亿,1.7亿次播放,549.2万,9.8,22220人评,2021年12月14日开播,"已完结, 全2集",http://i0.hdslb.com/bfs/bangumi/image/8ac2486de2f7e3c518d34af32a907ac2038026e1.png,68,12428
非正式会谈 第6.5季,1.5亿,1.5亿次播放,113.5万,9.4,9103人评,2021年5月7日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/aa56641d0407534978bf4c93872d23d6cb39dac6.jpg,72,2640
2021最美的夜 bilibili晚会,1.5亿,1.5亿次播放,79.4万,9.4,18503人评,2021年12月31日开播,"已完结, 全3集",http://i0.hdslb.com/bfs/bangumi/image/dfa123159cd4accb04fcdee9239bd2218ad4a2be.jpg,107,4442
bilibili晚会 二零一九最美的夜,1.4亿,1.4亿次播放,475.1万,9.9,95689人评,2019年12月31日开播,"已完结, 全3集",http://i0.hdslb.com/bfs/bangumi/image/588b2e03de4220246811945266b4d71541e28204.jpg,66,30931
有点心机又如何,1.3亿,1.3亿次播放,33.1万,9.6,5958人评,2020年8月24日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/cbd508a72f1179ef39f9c39af0d5a047f79b0a96.jpg,8,1263
非正式会谈 第6季,1.2亿,1.2亿次播放,256.2万,9.7,12927人评,2020年1月17日开播,"已完结, 全28集",http://i0.hdslb.com/bfs/bangumi/image/83fd62f43b83f2e3916c5c112aa853e6133318f0.jpg,23,4027
非正式会谈 第7季,1.1亿,1.1亿次播放,49.1万,9.6,5333人评,每周五晚8:00更新1期开播,"连载中, 每周五晚8点，大会员抢先看1天",http://i0.hdslb.com/bfs/bangumi/image/3dcca94624af6a020a35b0d17a03179a34bc08c1.png,9,1317
非正式会谈 第5季,1.1亿,1.1亿次播放,252.6万,9.8,16001人评,2019年5月17日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/f2a79c03feb5ebc97d34901c63382eabf5c0f912.jpg,41,6859
暴走《大事件》第六季,1.1亿,1.1亿次播放,256.5万,9.8,938人评,2019年1月1日开播,"已完结, 全33集",http://i0.hdslb.com/bfs/bangumi/image/a6883695bcb73f2bf41f23ce29d5790828abbecc.png,1,171
舞千年,1亿,1亿次播放,39.3万,9.9,17618人评,2021年11月6日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/28188290180b128a1398cc5221ab9aaae770f2ee.png,28,4852
破圈吧变形兄弟,8894.8万,8894.8万次播放,124.4万,9.4,52364人评,2020年8月5日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/e8869929299aa4e5d7378b826673cdde93a5b6be.jpg,86,20762
极限挑战 第一季,7598.9万,7598.5万次播放,54.3万,9.8,11671人评,2015年6月14日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/4818cb0854bab948631d0a23673fb0d973b80c54.jpg,11,3451
莽吧！变形兄弟,6625.1万,6625.1万次播放,101.4万,9.8,5997人评,2019年7月20日开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/image/b82e491c9113554b739604fc4c73bd29e2b1f6be.jpg,1,1380
暴走《大事件》第八季,6222.8万,6222.8万次播放,44.8万,9.8,671人评,2021年2月12日开播,"已完结, 全28集",http://i0.hdslb.com/bfs/bangumi/image/770809a61f992cbad5315d48982e1661cb7d6ad0.png,6,192
王牌对王牌 第五季,6009.3万,6009.2万次播放,15.3万,8.8,2140人评,2020年2月21日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/ea449420304765fffc651c395ffa7a51b940fe59.jpg,5,845
